country,tenor_years,window,n_months,r_local_ann,yield_rolldown_ann,carry_rolldown_ann,price_return_ann,r_short_ann,diff_bp,diff_carry_bp,flagged,mean_duration,mean_dy_ann,trend_bp,trend_residual_bp,trend_linearisation_bp,coupon_vs_zero_bp,linear_exact_bp,convexity_bp,accounting_sum_bp,accounting_gap_bp,r_local_sd_monthly,half_var_ann_bp,annualisation
US,7.0,full,775,0.06262871668488076,0.06469753125445807,0.015930402222200008,0.005914419910687217,0.048767129032258064,-20.68814569577304,466.9831446268076,False,5.75575448809473,9.344146248902656e-05,-5.3782611709534995,-15.309884524819541,-17.052924016028776,-14.84974554333025,-22.431185186982276,25.769721373219305,-11.511209357093222,-9.17693633867982,0.018806925552998878,21.222026925362528,arithmetic: mean x 12
US,10.0,full,775,0.06255947906683647,0.06401423397863601,0.015247104946377946,0.004499091970062273,0.048767129032258064,-14.547549117995413,473.1237412045852,False,7.603984231866976,0.00010579240226503875,-8.044437586746827,-6.503111531248585,-19.758287395203457,-16.285432508684313,-27.802724981950284,38.51698973344953,-5.571167757185073,-8.97638136081034,0.022713927429261746,30.955349955706147,arithmetic: mean x 12
US,20.0,full,691,0.060852075535163794,0.06684317837473541,0.019874111804547272,0.0025470104121536595,0.046969066570188144,-59.91102839571619,409.77963730616517,True,12.145095367783355,0.00044118002832725694,-53.581735183958976,-6.329293211757211,-56.776311758319515,-24.67510231934508,-110.35804694227849,83.58692109401855,-51.44622816760503,-8.464800228111159,0.031924470167067905,61.15030772688052,arithmetic: mean x 12
US,30.0,full,444,0.06159967597725568,0.056674746147869874,0.014087978129851846,0.005789991292570993,0.042586768018018015,49.24929829385805,475.1169784740383,False,15.50586264139794,0.00038537567592528284,-59.75582296233323,109.00512125619127,-10.25844799048916,-14.104114087107927,-70.01427095282239,140.89743431122054,56.77904927129022,-7.5297509774321725,0.0406576720040756,99.18277756745955,arithmetic: mean x 12
CA,1.0,strategy,348,0.02722530117746227,0.02738084134809503,0.003781703417060543,0.002217986174054787,0.02359913793103449,-1.5554017063276055,234.43597760401727,False,0.981686235340568,-0.0005315916790027715,5.218562340986025,-6.77396404731363,-0.7868964079382801,-2.3330150478584275,4.431665933047745,0.3616975485700223,2.4603484337593393,-4.015750140086945,0.002366481016288291,0.33601394402717183,arithmetic: mean x 12
CA,2.0,strategy,348,0.029588077817046143,0.028972511424224322,0.005373373493189837,0.0034573152552099815,0.02359913793103449,6.155663928218217,242.14704323856307,False,1.9369569836480538,-0.0006494327132890232,12.579232294146777,-6.423568365928561,-1.863709185791853,-2.567341390942242,10.715523108354924,1.5096540239263194,9.657835741339003,-3.5021718131207864,0.004576744018514007,1.2567951486602245,arithmetic: mean x 12
CA,3.0,strategy,348,0.03247149725741383,0.03113496972143035,0.007535831790395863,0.005128393641899673,0.02359913793103449,13.365275359834769,249.35665467017967,False,2.86314640820179,-0.0007151958688775828,20.477104831376096,-7.111829471541327,-3.6728717254650114,-2.999536757939936,16.804233105911084,3.097843801617953,16.9025401495891,-3.5372647897543317,0.006639091326174303,2.6446520182369717,arithmetic: mean x 12
CA,5.0,strategy,348,0.03775470902110066,0.034976142439272266,0.011377004508237785,0.008254808895945855,0.02359913793103449,27.78566581828394,263.77704512862874,False,4.623019278487345,-0.0008014961861884491,37.053323203832825,-9.267657385548883,-8.87854446090245,-4.225057608075295,28.174778742930375,7.478811264347098,31.42853239920218,-3.6428665809182377,0.010457477425266318,6.561530045997281,arithmetic: mean x 12
CA,7.0,strategy,348,0.041877287095309045,0.037698341450229836,0.014099203519195351,0.01053577548871657,0.02359913793103449,41.78945645079209,277.7808357611369,False,6.255282684220233,-0.0008446057715698313,52.832478578932346,-11.043022128140258,-14.71581812897233,-5.774947618010662,38.116660449960015,13.133702397429008,45.475415229378356,-3.6859587785862686,0.013893148915148323,11.581175206709219,arithmetic: mean x 12
CA,10.0,strategy,348,0.04623759964476552,0.04016641428706221,0.01656727635602773,0.012791586379366782,0.02359913793103449,60.71185357703311,296.7032328873779,True,8.472116726798783,-0.0008776650138653252,74.35680444494507,-13.644950867911959,-23.657041396199453,-8.08183680838871,50.699763048745616,21.765644605876407,64.38357084623331,-3.671717269200201,0.017804454005397752,19.019914945819448,arithmetic: mean x 12
