variant,window,piece,cumulative,share
carry_hedged_country_scope,six,funding,0.0,0.0
carry_hedged_country_scope,six,fx,0.0,0.0
carry_hedged_country_scope,six,cost,-0.05135000000000001,-0.6605376364443964
carry_hedged_country_scope,six,r_net,0.0777397034882245,1.0
carry_hedged_country_scope,1990s,carry_earned,0.06214581144688976,-4.650898696688777
carry_hedged_country_scope,1990s,yield_change_pnl,-0.06965791961130424,5.213093529418876
carry_hedged_country_scope,1990s,funding,0.0,-0.0
carry_hedged_country_scope,1990s,fx,0.0,-0.0
carry_hedged_country_scope,1990s,cost,-0.00585,0.43780516726990176
carry_hedged_country_scope,1990s,r_net,-0.013362108164414478,1.0
carry_hedged_country_scope,2000s,carry_earned,0.23576500903250125,-328.8730839680264
carry_hedged_country_scope,2000s,yield_change_pnl,-0.21163189655089548,295.2093475206944
carry_hedged_country_scope,2000s,funding,0.0,-0.0
carry_hedged_country_scope,2000s,fx,0.0,-0.0
carry_hedged_country_scope,2000s,cost,-0.024850000000000004,34.663736447331935
carry_hedged_country_scope,2000s,r_net,-0.000716887518394247,1.0
carry_hedged_country_scope,2010s,carry_earned,0.15633595725092048,1.538101010195569
carry_hedged_country_scope,2010s,yield_change_pnl,-0.03344793253053226,-0.329075279409926
carry_hedged_country_scope,2010s,funding,0.0,0.0
carry_hedged_country_scope,2010s,fx,0.0,0.0
carry_hedged_country_scope,2010s,cost,-0.02124583333333334,-0.20902573078564304
carry_hedged_country_scope,2010s,r_net,0.10164219138705488,1.0
carry_hedged_country_scope,2020s,carry_earned,0.15985293683297852,-4.962041375669011
carry_hedged_country_scope,2020s,yield_change_pnl,-0.1757139261335323,5.45438694483815
carry_hedged_country_scope,2020s,funding,0.0,-0.0
carry_hedged_country_scope,2020s,fx,0.0,-0.0
carry_hedged_country_scope,2020s,cost,-0.016354166666666666,0.5076544308308588
carry_hedged_country_scope,2020s,r_net,-0.03221515596722049,1.0
carry_hedged_interbank_3m,full,carry_earned,0.7444038781099817,3.988415880910831
carry_hedged_interbank_3m,full,yield_change_pnl,-0.5059413013342344,-2.710765459972548
carry_hedged_interbank_3m,full,funding,0.0,0.0
carry_hedged_interbank_3m,full,fx,0.0,0.0
carry_hedged_interbank_3m,full,cost,-0.051821087939837945,-0.27765042093828257
carry_hedged_interbank_3m,full,r_net,0.18664148883590914,1.0
carry_hedged_interbank_3m,six,carry_earned,0.49731645642206596,4.611486893845673
carry_hedged_interbank_3m,six,yield_change_pnl,-0.3502395167292158,-3.247680466324416
carry_hedged_interbank_3m,six,funding,0.0,0.0
carry_hedged_interbank_3m,six,fx,0.0,0.0
carry_hedged_interbank_3m,six,cost,-0.03923396672771673,-0.3638064275212574
carry_hedged_interbank_3m,six,r_net,0.1078429729651334,1.0
carry_hedged_interbank_3m,1990s,carry_earned,0.08418313841224111,16.47191055926544
carry_hedged_interbank_3m,1990s,yield_change_pnl,-0.0746224296022732,-14.60118984997346
carry_hedged_interbank_3m,1990s,funding,0.0,0.0
carry_hedged_interbank_3m,1990s,fx,0.0,0.0
carry_hedged_interbank_3m,1990s,cost,-0.00445,-0.8707207092919764
carry_hedged_interbank_3m,1990s,r_net,0.005110708809967897,1.0
carry_hedged_interbank_3m,2000s,carry_earned,0.3184953784806337,3.4005356139593963
carry_hedged_interbank_3m,2000s,yield_change_pnl,-0.20858837678658926,-2.2270722021290124
carry_hedged_interbank_3m,2000s,funding,0.0,0.0
carry_hedged_interbank_3m,2000s,fx,0.0,0.0
carry_hedged_interbank_3m,2000s,cost,-0.016246645021645023,-0.17346341183038352
carry_hedged_interbank_3m,2000s,r_net,0.09366035667239939,1.0
carry_hedged_interbank_3m,2010s,carry_earned,0.18449878003061523,1.164016987629449
